episodes,score,discounted_score
79900,3.7450,0.5814
80000,3.8000,0.6260
80100,4.1090,0.5960
80200,4.2000,0.5997
80300,3.5160,0.6061
80400,3.6290,0.6276
80500,3.9600,0.6155
80600,4.0070,0.5835
80700,3.8290,0.6144
80800,4.0290,0.6013
80900,4.0070,0.5835
81000,3.9270,0.5887
81100,4.0690,0.5987
81200,4.1270,0.5756
81300,4.3200,0.5918
81400,3.8870,0.5913
81500,4.0400,0.6102
81600,3.6870,0.6045
81700,3.9780,0.5950
81800,3.5780,0.6213
81900,3.9670,0.5861
82000,4.0980,0.5871
82100,3.8400,0.6233
82200,4.0000,0.6128
82300,3.6870,0.6045
82400,3.9490,0.6065
82500,3.9200,0.6181
82600,3.7490,0.6197
82700,3.7270,0.6019
82800,3.6180,0.6187
82900,3.9490,0.6065
83000,3.7270,0.6019
83100,3.9890,0.6039
83200,3.4250,0.6024
83300,3.9890,0.6039
83400,3.9780,0.5950
83500,4.0290,0.6013
83600,4.1090,0.5960
83700,4.1200,0.6049
83800,3.7090,0.6223
83900,4.1600,0.6023
84000,4.0690,0.5987
84100,4.0870,0.5782
84200,3.8250,0.5762
84300,3.8980,0.6003
84400,3.6690,0.6249
84500,3.7090,0.6223
84600,3.7380,0.6108
84700,4.2180,0.5792
84800,4.0400,0.6102
84900,3.9380,0.5976
85000,4.0980,0.5871
85100,4.2690,0.5855
85200,4.1490,0.5934
85300,3.8180,0.6055
85400,3.9090,0.6092
85500,4.0000,0.6128
85600,3.9090,0.6092
85700,4.0290,0.6013
85800,3.8470,0.5940
85900,4.0180,0.5924
86000,3.4800,0.6470
86100,3.7560,0.5903
86200,3.8290,0.6144
86300,3.7160,0.5930
86400,3.8290,0.6144
86500,4.0070,0.5835
86600,3.9380,0.5976
86700,3.6980,0.6134
86800,3.9380,0.5976
86900,3.8580,0.6029
87000,3.8980,0.6003
87100,3.3160,0.6192
87200,3.9090,0.6092
87300,4.0690,0.5987
87400,3.5890,0.6302
87500,3.8800,0.6207
87600,3.8690,0.6118
87700,3.8180,0.6055
87800,3.8400,0.6233
87900,3.5670,0.6124
88000,3.6470,0.6071
88100,3.8400,0.6233
88200,3.5780,0.6213
88300,3.9600,0.6155
88400,3.5200,0.6444
88500,3.8690,0.6118
88600,3.5890,0.6302
88700,3.7670,0.5992
88800,3.5200,0.6444
88900,3.6580,0.6160
89000,3.9780,0.5950
89100,4.1200,0.6049
89200,3.6870,0.6045
89300,3.6980,0.6134
89400,4.1380,0.5845
89500,4.0180,0.5924
89600,3.8980,0.6003
89700,3.9490,0.6065
89800,3.7490,0.6197
89900,3.8180,0.6055
90000,3.7380,0.6108
90100,3.5780,0.6213
90200,3.5560,0.6035
90300,3.5890,0.6302
90400,3.9090,0.6092
90500,4.0400,0.6102
90600,3.8580,0.6029
90700,4.0400,0.6102
90800,3.8180,0.6055
90900,3.4980,0.6265
91000,3.7380,0.6108
91100,3.8180,0.6055
91200,3.8580,0.6029
91300,3.9200,0.6181
91400,3.1890,0.6565
91500,3.8400,0.6233
91600,3.8180,0.6055
91700,3.7090,0.6223
91800,3.6580,0.6160
91900,3.6980,0.6134
92000,3.6690,0.6249
92100,3.4760,0.6087
92200,3.9490,0.6065
92300,3.5200,0.6444
92400,4.1200,0.6049
92500,3.6980,0.6134
92600,3.5890,0.6302
92700,3.2580,0.6423
92800,3.5890,0.6302
92900,3.5380,0.6239
93000,3.8580,0.6029
93100,3.5960,0.6008
93200,3.7090,0.6223
93300,4.0180,0.5924
93400,3.7200,0.6312
93500,3.9200,0.6181
93600,3.8290,0.6144
93700,3.6580,0.6160
